 * Serving Flask app 'app'
 * Debug mode: off
WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on http://127.0.0.1:5178
Press CTRL+C to quit
127.0.0.1 - - [27/Aug/2026 10:27:04] "GET /zam/textures/1799613.webp HTTP/1.1" 304 -
127.0.0.1 - - [27/Aug/2026 10:27:04] "GET /zam/textures/1799615.webp HTTP/1.1" 304 -
127.0.0.1 - - [27/Aug/2026 10:27:04] "GET /zam/textures/1799614.webp HTTP/1.1" 304 -
127.0.0.1 - - [27/Aug/2026 10:27:04] "GET /zam/textures/1799483.webp HTTP/1.1" 304 -
127.0.0.1 - - [27/Aug/2026 10:27:04] "GET /zam/textures/1799604.webp HTTP/1.1" 304 -
127.0.0.1 - - [27/Aug/2026 10:27:04] "GET /zam/m2/1800029.m2 HTTP/1.1" 304 -
127.0.0.1 - - [27/Aug/2026 10:27:04] "GET /zam/textures/1799904.webp HTTP/1.1" 304 -
127.0.0.1 - - [27/Aug/2026 10:27:04] "GET /zam/m2/2004866.m2 HTTP/1.1" 304 -
127.0.0.1 - - [27/Aug/2026 10:27:04] "GET /zam/textures/1799508.webp HTTP/1.1" 304 -
127.0.0.1 - - [27/Aug/2026 10:27:04] "GET /zam/textures/1799526.webp HTTP/1.1" 304 -
127.0.0.1 - - [27/Aug/2026 10:27:04] "GET /zam/m2/1800015.m2 HTTP/1.1" 304 -
127.0.0.1 - - [27/Aug/2026 10:27:04] "GET /zam/m2/1800017.m2 HTTP/1.1" 304 -
127.0.0.1 - - [27/Aug/2026 10:27:04] "GET /zam/m2/1800017.m2 HTTP/1.1" 304 -
127.0.0.1 - - [27/Aug/2026 10:27:04] "GET /zam/m2/1800017.m2 HTTP/1.1" 304 -
127.0.0.1 - - [27/Aug/2026 10:27:04] "GET /zam/skin/1630523.skin HTTP/1.1" 304 -
127.0.0.1 - - [27/Aug/2026 10:27:04] "GET /zam/skin/1800031.skin HTTP/1.1" 304 -
127.0.0.1 - - [27/Aug/2026 10:27:04] "GET /zam/skin/2004898.skin HTTP/1.1" 304 -
127.0.0.1 - - [27/Aug/2026 10:27:04] "GET /zam/skin/1800021.skin HTTP/1.1" 304 -
127.0.0.1 - - [27/Aug/2026 10:27:04] "GET /zam/skin/1800020.skin HTTP/1.1" 304 -
127.0.0.1 - - [27/Aug/2026 10:27:04] "GET /zam/skin/1800020.skin HTTP/1.1" 304 -
127.0.0.1 - - [27/Aug/2026 10:27:04] "GET /zam/skin/1800020.skin HTTP/1.1" 304 -
127.0.0.1 - - [27/Aug/2026 10:27:04] "GET /zam/skel/2198416.skel HTTP/1.1" 200 -
127.0.0.1 - - [27/Aug/2026 10:27:04] "GET /zam/textures/1043285.webp HTTP/1.1" 304 -
127.0.0.1 - - [27/Aug/2026 10:27:04] "GET /zam/textures/1033301.webp HTTP/1.1" 304 -
127.0.0.1 - - [27/Aug/2026 10:27:04] "GET /zam/textures/330125.webp HTTP/1.1" 304 -
127.0.0.1 - - [27/Aug/2026 10:27:04] "GET /zam/textures/1033423.webp HTTP/1.1" 304 -
127.0.0.1 - - [27/Aug/2026 10:27:05] "GET /zam/textures/3540977.webp HTTP/1.1" 304 -
127.0.0.1 - - [27/Aug/2026 10:27:05] "GET /zam/textures/4531040.webp HTTP/1.1" 304 -
127.0.0.1 - - [27/Aug/2026 10:27:05] "GET /zam/textures/5210130.webp HTTP/1.1" 304 -
127.0.0.1 - - [27/Aug/2026 10:27:08] "GET /mv?d=61&t=16&items=8:166840,9:166842,5:167997,10:166846,7:167932,16:166866,6:166900,1:166903,3:166906,21:677854 HTTP/1.1" 200 -
127.0.0.1 - - [27/Aug/2026 10:27:08] "GET /zam/viewer/viewer.min.js HTTP/1.1" 304 -
127.0.0.1 - - [27/Aug/2026 10:27:08] "GET /zam/meta/character/61.json HTTP/1.1" 304 -
127.0.0.1 - - [27/Aug/2026 10:27:08] "GET /favicon.ico HTTP/1.1" 304 -
127.0.0.1 - - [27/Aug/2026 10:27:08] "GET /zam/meta/character/61.json HTTP/1.1" 304 -
127.0.0.1 - - [27/Aug/2026 10:27:08] "GET /zam/m2/1630447.m2 HTTP/1.1" 200 -
127.0.0.1 - - [27/Aug/2026 10:27:08] "GET /zam/meta/charactercustomization/61.json HTTP/1.1" 304 -
127.0.0.1 - - [27/Aug/2026 10:27:08] "GET /zam/textures/1698995.webp HTTP/1.1" 304 -
127.0.0.1 - - [27/Aug/2026 10:27:08] "GET /zam/textures/1698999.webp HTTP/1.1" 304 -
127.0.0.1 - - [27/Aug/2026 10:27:08] "GET /zam/textures/1698997.webp HTTP/1.1" 304 -
127.0.0.1 - - [27/Aug/2026 10:27:08] "GET /zam/textures/1698996.webp HTTP/1.1" 304 -
127.0.0.1 - - [27/Aug/2026 10:27:08] "GET /zam/textures/3492820.webp HTTP/1.1" 304 -
127.0.0.1 - - [27/Aug/2026 10:27:08] "GET /zam/textures/3802996.webp HTTP/1.1" 304 -
127.0.0.1 - - [27/Aug/2026 10:27:08] "GET /zam/bone/1795337.bone HTTP/1.1" 304 -
127.0.0.1 - - [27/Aug/2026 10:27:08] "GET /zam/meta/armor/9/166842.json HTTP/1.1" 304 -
127.0.0.1 - - [27/Aug/2026 10:27:08] "GET /zam/meta/armor/8/166840.json HTTP/1.1" 304 -
127.0.0.1 - - [27/Aug/2026 10:27:08] "GET /zam/meta/armor/5/167997.json HTTP/1.1" 304 -
127.0.0.1 - - [27/Aug/2026 10:27:08] "GET /zam/meta/armor/10/166846.json HTTP/1.1" 304 -
127.0.0.1 - - [27/Aug/2026 10:27:08] "GET /zam/meta/armor/7/167932.json HTTP/1.1" 304 -
